Variation,visit_id,steps,total_steps,backward_steps
Control,105458894_14199333129_3131,"(4, 0)",4,0
Control,105463936_33665073256_202725,"(4, 0)",4,0
Control,105564674_95442780237_285500,"(1, 0)",1,0
Control,10566599_45587295025_172827,"(1, 0)",1,0
Control,105687916_37056975038_128942,"(4, 0)",4,0
Control,105697291_47606343533_645350,"(3, 1)",3,1
Control,105727237_33299933441_343945,"(7, 1)",7,1
Control,105742024_85246754194_412258,"(1, 0)",1,0
Control,105779011_74310922511_16797,"(1, 0)",1,0
Control,105846921_33921978329_667378,"(3, 0)",3,0
Control,105849068_17000709084_830710,"(4, 0)",4,0
Control,105877223_61802077621_417951,"(4, 0)",4,0
Control,1058878_6068392397_212360,"(4, 0)",4,0
Control,105981591_70237515451_29158,"(5, 1)",5,1
Control,105998803_62630916167_181478,"(8, 2)",8,2
Control,106020402_81964804358_151571,"(7, 1)",7,1
Control,106020983_93181100604_585693,"(2, 0)",2,0
Control,106039644_54416841163_187238,"(0, 0)",0,0
Control,106062830_23704503289_392883,"(4, 0)",4,0
Control,106077428_2572724392_430646,"(4, 0)",4,0
Control,106135460_7780027275_359695,"(0, 0)",0,0
Control,106145543_80076286901_797889,"(0, 0)",0,0
Control,106162458_13073625157_259055,"(6, 1)",6,1
Control,106188542_73791453439_396070,"(6, 1)",6,1
Control,106221391_55485370533_288682,"(4, 0)",4,0
Control,106230609_98155655442_299610,"(4, 0)",4,0
Control,106232894_58365287236_311352,"(4, 0)",4,0
Control,106288735_5496759638_969218,"(4, 0)",4,0
Control,106448779_70353020907_405440,"(2, 0)",2,0
Control,106487671_69415336021_642584,"(2, 1)",2,1
Control,106506438_80982910196_874581,"(4, 1)",4,1
Control,106516319_17231742424_451640,"(4, 0)",4,0
Control,106530045_50715786080_839962,"(7, 1)",7,1
Control,106588504_5828543624_414168,"(8, 2)",8,2
Control,106610175_69651082283_22181,"(4, 1)",4,1
Control,10666472_64900029009_985898,"(2, 1)",2,1
Control,106679528_83928157480_253697,"(6, 1)",6,1
Control,106728830_24796395479_680506,"(6, 1)",6,1
Control,106742846_97029063001_192846,"(4, 0)",4,0
Control,106749425_84660712069_228934,"(4, 0)",4,0
Control,106762185_22787047103_166209,"(4, 0)",4,0
Control,10676892_62797396948_321032,"(4, 0)",4,0
Control,106805459_62507842156_488717,"(4, 0)",4,0
Control,106809676_34736821159_772023,"(4, 0)",4,0
Control,106853793_982983940_670658,"(3, 0)",3,0
Control,10685813_76496105820_934269,"(0, 0)",0,0
Control,106910574_28821082112_739895,"(0, 0)",0,0
Control,10691547_6905772212_536480,"(7, 1)",7,1
Control,106955044_72064422285_844262,"(1, 0)",1,0
Control,106973227_30712029071_656405,"(4, 0)",4,0
Control,106991823_36926773912_894581,"(8, 2)",8,2
Control,10701368_33671322700_675209,"(4, 0)",4,0
Control,107016836_86308944528_107226,"(1, 0)",1,0
Control,1070340_64433955447_943502,"(4, 0)",4,0
Control,107045394_54554679852_519448,"(3, 1)",3,1
Control,10708236_91239323295_576087,"(0, 0)",0,0
Control,107084877_94470350214_30033,"(4, 1)",4,1
Control,107090185_43642799759_974372,"(4, 0)",4,0
Control,107101222_33639192678_690000,"(2, 0)",2,0
Control,107117937_86456185680_313223,"(1, 0)",1,0
Control,10721468_20141279440_61193,"(4, 0)",4,0
Control,107222483_8242134100_684417,"(4, 0)",4,0
Control,107291547_22481134147_322645,"(4, 0)",4,0
Control,10736492_51772568397_109044,"(4, 0)",4,0
Control,107410475_26947979579_355416,"(1, 0)",1,0
Control,10748725_78351965784_819901,"(4, 0)",4,0
Control,107491241_30335965863_650052,"(3, 0)",3,0
Control,107498847_67594416067_869316,"(4, 0)",4,0
Control,10750371_16783231389_198484,"(4, 0)",4,0
Control,10757496_53384070887_548622,"(0, 0)",0,0
Control,107631330_22230037486_301416,"(13, 4)",13,4
Control,107641279_72757423441_432705,"(4, 0)",4,0
Control,107667097_14492710514_779413,"(3, 0)",3,0
Control,107670967_98557689633_256472,"(4, 0)",4,0
Control,107693237_96368288508_746463,"(6, 1)",6,1
Control,107737080_63213007869_706529,"(4, 2)",4,2
Control,107745500_51184288287_394682,"(2, 0)",2,0
Control,10781030_88249762808_198895,"(4, 0)",4,0
Control,107812476_47194111740_635808,"(4, 0)",4,0
Control,107847401_7196325027_942569,"(3, 0)",3,0
Control,107923930_51697880023_129433,"(0, 0)",0,0
Control,107975394_61350699882_375756,"(4, 0)",4,0
Control,10799126_20438771706_410909,"(3, 1)",3,1
Control,108007035_42230588940_891847,"(4, 1)",4,1
Control,108088171_11964436695_942392,"(4, 0)",4,0
Control,108128640_13820221567_570627,"(4, 0)",4,0
Control,108132969_24758442202_975841,"(4, 0)",4,0
Control,108145760_13278359025_220508,"(3, 0)",3,0
Control,108152866_12655231835_411925,"(4, 0)",4,0
Control,108160928_74041165668_179601,"(8, 2)",8,2
Control,108161221_20877587927_239966,"(2, 0)",2,0
Control,10817171_50453956454_434089,"(4, 0)",4,0
Control,108185369_27453506388_542429,"(7, 1)",7,1
Control,1081884_88414139180_854167,"(4, 0)",4,0
Control,10819387_86190387051_69793,"(4, 0)",4,0
Control,108207988_38370547354_997031,"(4, 0)",4,0
Control,108212678_59610135958_492294,"(1, 0)",1,0
Control,108214401_65824239803_226653,"(1, 0)",1,0
Control,108228548_7807336072_380800,"(5, 1)",5,1
Control,10823683_86056158289_300788,"(18, 6)",18,6
Control,108237565_57237624831_283658,"(2, 0)",2,0
Control,108286673_85335884771_758576,"(0, 0)",0,0
Control,108343432_22246836068_782936,"(1, 0)",1,0
Control,108397960_79834715554_939840,"(4, 0)",4,0
Control,108500988_79780198274_257975,"(1, 0)",1,0
Control,108554619_78952596421_643514,"(4, 0)",4,0
Control,108602470_35414089006_811600,"(2, 0)",2,0
Control,108619459_23424029815_711943,"(3, 0)",3,0
Control,108631730_52513210497_452167,"(11, 2)",11,2
Control,108632786_58840162832_280089,"(10, 3)",10,3
Control,108658190_30518284885_125648,"(1, 0)",1,0
Control,108686729_34233509984_14487,"(7, 1)",7,1
Control,108690991_98901585957_570,"(6, 1)",6,1
Control,10871633_1705641651_226934,"(5, 1)",5,1
Control,108719545_42143405876_705852,"(4, 2)",4,2
Control,108744633_27495992537_16982,"(2, 0)",2,0
Control,108808380_94764333350_175086,"(3, 0)",3,0
Control,108809747_47233632345_827356,"(3, 0)",3,0
Control,108857769_19979452740_456587,"(4, 1)",4,1
Control,108860642_55131911366_926344,"(3, 1)",3,1
Control,108905338_14872524601_905668,"(6, 1)",6,1
Control,108907799_62013523001_254981,"(4, 0)",4,0
Control,10893632_5786602531_586085,"(4, 0)",4,0
Control,108937428_94918779072_42035,"(4, 0)",4,0
Control,108947270_355420661_88176,"(0, 0)",0,0
Control,108957383_41514350677_193670,"(4, 0)",4,0
Control,109011250_15395719573_228235,"(4, 0)",4,0
Control,109011395_74315471043_951387,"(4, 1)",4,1
Control,109085780_40828468276_54804,"(1, 0)",1,0
Control,109086558_73015852974_776843,"(2, 0)",2,0
Control,109126522_89302360716_797418,"(4, 0)",4,0
Control,109140695_24859270597_694344,"(4, 0)",4,0
Control,109154154_68812231163_309521,"(4, 0)",4,0
Control,109178915_88566590610_326604,"(4, 0)",4,0
Control,109212970_24143620681_788923,"(0, 0)",0,0
Control,109254991_66090324429_451565,"(4, 0)",4,0
Control,109266551_86824413138_988298,"(4, 0)",4,0
Control,109270825_70428791942_253169,"(4, 0)",4,0
Control,109341543_93834603351_339892,"(4, 0)",4,0
Control,10934213_8358643379_64047,"(4, 0)",4,0
Control,109348025_27992284703_535018,"(4, 0)",4,0
Control,109447651_76530485141_835727,"(3, 1)",3,1
Control,109478439_46834904677_537548,"(4, 0)",4,0
Control,109493483_32835460568_770553,"(4, 0)",4,0
Control,109559465_66925407084_586367,"(2, 0)",2,0
Control,109573441_61601390265_656011,"(2, 1)",2,1
Control,10964153_28792892240_920696,"(6, 3)",6,3
Control,109679814_72589617383_442999,"(2, 0)",2,0
Control,109687218_82550150466_786235,"(3, 0)",3,0
Control,109687265_46478528055_860131,"(10, 4)",10,4
Control,109837753_21589558825_892617,"(4, 0)",4,0
Control,109850778_13269643517_672459,"(2, 0)",2,0
Control,109853243_54038366030_348387,"(4, 0)",4,0
Control,109887260_69500309963_355398,"(4, 0)",4,0
Control,109922323_3531132807_141846,"(2, 0)",2,0
Control,109985769_23587300049_49862,"(4, 0)",4,0
Control,110024436_52678239326_911136,"(0, 0)",0,0
Control,110028919_87375981057_54923,"(4, 0)",4,0
Control,110077423_47121627403_507093,"(4, 0)",4,0
Control,11010472_15814590735_454467,"(3, 0)",3,0
Control,110188436_84937351201_276106,"(8, 1)",8,1
Control,110208774_59197878914_70833,"(3, 1)",3,1
Control,110282786_63380697757_292711,"(4, 0)",4,0
Control,110307202_34636181112_192510,"(6, 1)",6,1
Control,110357480_44657547325_549221,"(4, 0)",4,0
Control,110370392_24256998198_114037,"(6, 1)",6,1
Control,110389027_36684653713_791010,"(8, 3)",8,3
Control,110389785_41987072969_79530,"(8, 2)",8,2
Control,11039402_67593207357_110439,"(8, 2)",8,2
Control,110396168_29164529346_22732,"(4, 0)",4,0
Control,110432027_87493421469_986527,"(2, 0)",2,0
Control,110477187_9291835195_280023,"(4, 0)",4,0
Control,11049489_90808735976_373672,"(4, 0)",4,0
Control,110503428_41861954003_178066,"(6, 1)",6,1
Control,110509290_65780675794_198329,"(1, 0)",1,0
Control,110529988_53459954592_574647,"(4, 0)",4,0
Control,11054834_9291749319_320607,"(7, 1)",7,1
Control,110602169_70496154144_443274,"(4, 0)",4,0
Control,110644352_58623709359_189784,"(4, 0)",4,0
Control,11065584_77780645005_776913,"(3, 0)",3,0
Control,110720215_97248493330_744168,"(4, 0)",4,0
Control,110720429_83928580709_482823,"(2, 0)",2,0
Control,110766351_48443200737_752028,"(0, 0)",0,0
Control,110769229_2731562596_369038,"(4, 0)",4,0
Control,110803305_60486350265_542000,"(0, 0)",0,0
Control,11086514_25869311779_867257,"(2, 0)",2,0
Control,110899910_14242013946_84357,"(4, 0)",4,0
Control,11090727_95300510488_327761,"(4, 0)",4,0
Control,110925583_24930667706_617581,"(4, 0)",4,0
Control,110927775_62147961797_589694,"(4, 0)",4,0
Control,110979260_6724695508_22050,"(4, 0)",4,0
Control,111019180_13564920828_813922,"(4, 0)",4,0
Control,11102876_24833879204_800510,"(4, 0)",4,0
Control,111041619_14934652450_91501,"(4, 0)",4,0
Control,111055176_28932574681_784747,"(8, 4)",8,4
Control,111109938_65650845973_826189,"(10, 3)",10,3
Control,111148205_25981715466_468155,"(4, 0)",4,0
Control,111153239_82474719634_867289,"(4, 0)",4,0
Control,111161234_91702610713_863395,"(4, 0)",4,0
Control,111196356_32045752975_804782,"(0, 0)",0,0
Control,111201925_49456733189_59478,"(4, 0)",4,0
Control,111217613_24577305244_306771,"(4, 0)",4,0
Control,111326804_83688354720_633705,"(4, 0)",4,0
Control,111328817_79510453331_478752,"(6, 1)",6,1
Control,111389398_71419555371_190810,"(4, 0)",4,0
Control,111421639_17931428449_527949,"(4, 2)",4,2
Control,111427508_2476706406_779913,"(0, 0)",0,0
Control,111428143_11425186552_799716,"(4, 0)",4,0
Control,111516993_7039845318_17973,"(2, 0)",2,0
Control,111634306_28851946679_245469,"(4, 0)",4,0
Control,111798310_43645736226_972694,"(4, 0)",4,0
Control,111821165_327669615_79473,"(4, 0)",4,0
Control,111854513_80974257668_567853,"(1, 0)",1,0
Control,111872472_55415827130_98897,"(3, 0)",3,0
Control,111907633_72880763425_867787,"(4, 0)",4,0
Control,111942134_40082625582_88003,"(4, 0)",4,0
Control,111969478_19988193389_141033,"(0, 0)",0,0
Control,11209041_10706817176_951283,"(3, 0)",3,0
Control,112097818_65763453813_588543,"(1, 0)",1,0
Control,112143842_93006551069_268720,"(3, 0)",3,0
Control,112180490_23106481797_608668,"(3, 0)",3,0
Control,11226658_85296798861_496994,"(4, 0)",4,0
Control,112278123_17520597358_564573,"(7, 1)",7,1
Control,112303976_61144673077_767002,"(4, 0)",4,0
Control,112352365_62407393457_17520,"(4, 0)",4,0
Control,112363268_58221783867_684760,"(4, 0)",4,0
Control,112524113_33905665150_198284,"(4, 0)",4,0
Control,112621455_54406533221_442304,"(4, 0)",4,0
Control,112654971_96539344813_593962,"(0, 0)",0,0
Control,112762802_35142811054_599208,"(4, 1)",4,1
Control,112962802_60410211013_678851,"(7, 1)",7,1
Control,112984359_7632128065_94563,"(4, 0)",4,0
Control,112987526_91376029889_588324,"(4, 1)",4,1
Control,113119512_8308234673_482793,"(6, 1)",6,1
Control,113183636_74845248813_692936,"(4, 0)",4,0
Control,113210214_41722402972_182737,"(8, 2)",8,2
Control,113266577_6180033811_938815,"(6, 1)",6,1
Control,113296808_72611048538_244313,"(4, 0)",4,0
Control,11336552_27599267247_610394,"(1, 0)",1,0
Control,113368347_20084839849_457710,"(0, 0)",0,0
Control,113392289_37899775097_423210,"(3, 0)",3,0
Control,113538304_4299543244_155494,"(3, 0)",3,0
Control,113562647_25670250959_145815,"(4, 0)",4,0
Control,113601674_57863434150_654915,"(0, 0)",0,0
Control,113669710_96989769821_933022,"(0, 0)",0,0
Control,113699111_94139006890_511983,"(0, 0)",0,0
Control,113704105_34445302901_315971,"(4, 0)",4,0
Control,113725800_43586656354_807324,"(6, 1)",6,1
Control,113831903_66637399804_682438,"(4, 0)",4,0
Control,1138333_58385161067_239431,"(10, 4)",10,4
Control,113857132_6367438136_397511,"(8, 2)",8,2
Control,113870664_58816158771_511243,"(5, 2)",5,2
Control,113970522_7285970246_758357,"(1, 0)",1,0
Control,113976746_73687034503_659300,"(4, 0)",4,0
Control,114078072_49942160020_776204,"(4, 0)",4,0
Control,114083944_83737182057_396524,"(4, 0)",4,0
Control,114087963_96612575896_676328,"(1, 0)",1,0
Control,114105550_13669475196_891078,"(4, 0)",4,0
Control,114106519_80792704519_839638,"(4, 0)",4,0
Control,11412911_25963232972_20259,"(4, 1)",4,1
Control,114211436_87782424805_368670,"(4, 0)",4,0
Control,114224653_92314090324_515997,"(4, 0)",4,0
Control,114237118_48802255063_13369,"(5, 1)",5,1
Control,114245500_11808489882_338180,"(4, 0)",4,0
Control,114249480_2694912293_201986,"(0, 0)",0,0
Control,11438007_29713818321_383398,"(1, 0)",1,0
Control,114413144_11508614397_666820,"(4, 0)",4,0
Control,114445814_11524806547_85057,"(4, 0)",4,0
Control,114497411_68013488400_793290,"(0, 0)",0,0
Control,114499921_41190418358_126629,"(0, 0)",0,0
Control,114564140_74467176622_552976,"(4, 0)",4,0
Control,114593266_71061634944_216043,"(4, 0)",4,0
Control,11460649_14442567879_93142,"(2, 0)",2,0
Control,114608397_81417881599_573409,"(4, 0)",4,0
Control,11467683_85912757077_972642,"(4, 0)",4,0
Control,1146851_49919936618_778741,"(3, 1)",3,1
Control,114700016_64377991435_371658,"(6, 3)",6,3
Control,114804217_38911961494_779374,"(4, 0)",4,0
Control,11484734_14357678728_466641,"(4, 0)",4,0
Control,114879877_78279781452_522855,"(4, 0)",4,0
Control,114885457_41447361034_760968,"(6, 1)",6,1
Control,11502091_46137398931_301788,"(7, 1)",7,1
Control,115049717_82186765278_162124,"(6, 1)",6,1
Control,115104247_76393222538_918727,"(4, 0)",4,0
Control,115187487_49101665860_264335,"(1, 0)",1,0
Control,115201304_41243373705_102534,"(4, 0)",4,0
Control,115208418_12097011388_819632,"(4, 0)",4,0
Control,115256671_45817433501_869221,"(1, 0)",1,0
Control,11526369_30519509597_350526,"(3, 0)",3,0
Control,115311135_307601099_993997,"(4, 0)",4,0
Control,115372880_72453363491_391605,"(5, 1)",5,1
Control,115395476_70561092972_15557,"(5, 1)",5,1
Control,115471390_2958393370_393213,"(4, 0)",4,0
Control,11547926_89759781170_527123,"(0, 0)",0,0
Control,115524548_92865604947_730472,"(0, 0)",0,0
Control,115546883_13388993526_551290,"(4, 0)",4,0
Control,115572047_19690039926_685179,"(4, 0)",4,0
Control,115659827_66289833895_163676,"(0, 0)",0,0
Control,11567009_80440453288_940609,"(4, 0)",4,0
Control,115721781_81947236747_819218,"(0, 0)",0,0
Control,115730812_32311810732_588813,"(4, 0)",4,0
Control,115730850_16893471087_13740,"(4, 0)",4,0
Control,115742010_80805076270_430012,"(12, 4)",12,4
Control,115776630_35621234583_248479,"(1, 0)",1,0
Control,11577681_47915149024_91625,"(4, 0)",4,0
Control,115783905_26160113680_725969,"(4, 0)",4,0
Control,115808138_15846168776_370401,"(4, 2)",4,2
Control,115857290_78001915852_549015,"(3, 1)",3,1
Control,115951273_67471461260_865174,"(3, 0)",3,0
Control,115973585_79019214030_127404,"(4, 0)",4,0
Control,116004490_24439784366_860614,"(4, 0)",4,0
Control,116047082_53158654354_758779,"(2, 1)",2,1
Control,116056743_46311531167_124570,"(3, 0)",3,0
Control,116079564_49657250595_146817,"(4, 0)",4,0
Control,11614461_6566140909_598125,"(2, 1)",2,1
Control,116209603_23119777772_865234,"(4, 0)",4,0
Control,116247956_70538225553_674097,"(3, 0)",3,0
Control,116317520_78170485652_47785,"(1, 0)",1,0
Control,116341103_97181280423_61580,"(4, 0)",4,0
Control,116384239_65753252610_251072,"(4, 0)",4,0
Control,116453017_95525637194_645291,"(2, 0)",2,0
Control,116463050_26579900717_757798,"(4, 0)",4,0
Control,116483252_9981097535_378019,"(1, 0)",1,0
Control,116579377_96987085514_143483,"(5, 2)",5,2
Control,116640698_27328181095_188045,"(0, 0)",0,0
Control,116649071_782501428_311932,"(4, 0)",4,0
Control,116655152_49679024990_100371,"(3, 0)",3,0
Control,116703787_78213207879_36603,"(4, 0)",4,0
Control,116778086_56030015417_573781,"(4, 0)",4,0
Control,116932942_12740311347_954175,"(5, 1)",5,1
Control,116935856_19368238905_528275,"(0, 0)",0,0
Control,116994582_6023511216_835344,"(0, 0)",0,0
Control,117027909_92974154269_785442,"(4, 0)",4,0
Control,117054134_19715760081_525309,"(5, 2)",5,2
Control,117108651_73298952121_869007,"(2, 1)",2,1
Control,117111954_72833573607_174665,"(4, 1)",4,1
Control,11715722_59720048263_831326,"(0, 0)",0,0
Control,117168338_69646494826_690327,"(2, 0)",2,0
Control,117172126_80993066302_654552,"(4, 0)",4,0
Control,11720986_52679762149_836806,"(4, 0)",4,0
Control,117265243_76878376097_295294,"(1, 0)",1,0
Control,117291376_25284975669_155364,"(4, 0)",4,0
Control,117352486_41378755781_231965,"(6, 1)",6,1
Control,117364362_4303201630_62362,"(4, 0)",4,0
Control,11738013_41124473824_296094,"(3, 0)",3,0
Control,117464331_40164592612_859624,"(5, 2)",5,2
Control,117466533_15660408331_185394,"(0, 0)",0,0
Control,117541215_39202484404_181970,"(4, 0)",4,0
Control,117584795_60495945767_198199,"(4, 0)",4,0
Control,117605247_63053644773_373788,"(5, 1)",5,1
Control,117605512_80523143415_199332,"(0, 0)",0,0
Control,117623083_28983793422_368850,"(4, 0)",4,0
Control,117641933_72757811525_888167,"(4, 0)",4,0
Control,11767591_46815920430_274635,"(4, 0)",4,0
Control,117680712_31631394488_449622,"(4, 0)",4,0
Control,117706876_72262983287_653705,"(3, 0)",3,0
Control,117714400_50322151466_503875,"(4, 0)",4,0
Control,1177471_62097449466_935086,"(0, 0)",0,0
Control,117791864_6678607941_568700,"(12, 4)",12,4
Control,117830944_56061694046_595166,"(4, 0)",4,0
Control,117835534_84385747283_658868,"(4, 1)",4,1
Control,117895119_16501051592_422436,"(3, 0)",3,0
Control,117896179_1004058260_627958,"(4, 0)",4,0
Control,117899179_96541016886_779485,"(4, 0)",4,0
Control,117908454_79746633548_126146,"(4, 0)",4,0
Control,117915124_84242354140_83350,"(4, 0)",4,0
Control,117946925_3388334130_880569,"(4, 0)",4,0
Control,118012685_29423359739_408123,"(4, 0)",4,0
Control,118054183_79556680241_211112,"(1, 0)",1,0
Control,118054537_62322149580_634328,"(6, 1)",6,1
Control,11805755_68994722200_242989,"(6, 1)",6,1
Control,118136448_54832852728_45657,"(5, 2)",5,2
Control,118170309_98030963044_476320,"(4, 0)",4,0
Control,118230460_23654689177_141100,"(7, 1)",7,1
Control,118242071_87995943131_593522,"(9, 4)",9,4
Control,118259902_74155391582_634397,"(3, 1)",3,1
Control,118399410_43027631314_5820,"(2, 1)",2,1
Control,11842361_73805488372_860066,"(4, 0)",4,0
Control,118490686_59903918109_838394,"(1, 0)",1,0
