visit_id,start,step_1,step_2,confirm,Confirmed
110769229_2731562596_369038,1,1,1,1,Confirmed
110899910_14242013946_84357,1,1,1,1,Confirmed
11090727_95300510488_327761,1,1,1,1,Confirmed
110925583_24930667706_617581,1,1,1,1,Confirmed
110927775_62147961797_589694,1,1,1,1,Confirmed
110979260_6724695508_22050,1,1,1,1,Confirmed
111019180_13564920828_813922,2,1,1,1,Confirmed
11102876_24833879204_800510,1,1,1,1,Confirmed
111041619_14934652450_91501,1,1,1,1,Confirmed
111109938_65650845973_826189,1,3,4,1,Confirmed
111148205_25981715466_468155,1,1,1,1,Confirmed
111153239_82474719634_867289,1,1,1,1,Confirmed
111161234_91702610713_863395,1,1,1,1,Confirmed
111201925_49456733189_59478,1,1,1,1,Confirmed
111217613_24577305244_306771,1,1,1,1,Confirmed
111326804_83688354720_633705,1,1,1,1,Confirmed
111328817_79510453331_478752,1,1,2,1,Confirmed
111389398_71419555371_190810,2,1,1,1,Confirmed
111428143_11425186552_799716,1,1,2,1,Confirmed
111634306_28851946679_245469,2,1,1,1,Confirmed
111798310_43645736226_972694,1,1,1,1,Confirmed
111821165_327669615_79473,1,1,1,1,Confirmed
111907633_72880763425_867787,1,1,1,1,Confirmed
111942134_40082625582_88003,1,1,1,1,Confirmed
11226658_85296798861_496994,1,1,1,1,Confirmed
112278123_17520597358_564573,1,3,2,1,Confirmed
112303976_61144673077_767002,1,1,1,1,Confirmed
112352365_62407393457_17520,1,1,2,1,Confirmed
112363268_58221783867_684760,1,1,1,1,Confirmed
112524113_33905665150_198284,1,1,1,1,Confirmed
112621455_54406533221_442304,1,1,1,1,Confirmed
112962802_60410211013_678851,2,2,2,1,Confirmed
112984359_7632128065_94563,1,1,1,1,Confirmed
113119512_8308234673_482793,2,2,1,1,Confirmed
113183636_74845248813_692936,1,1,1,1,Confirmed
113210214_41722402972_182737,2,2,2,1,Confirmed
113266577_6180033811_938815,2,2,1,1,Confirmed
113296808_72611048538_244313,1,1,1,1,Confirmed
113562647_25670250959_145815,1,1,1,1,Confirmed
113704105_34445302901_315971,1,1,1,1,Confirmed
113725800_43586656354_807324,1,1,2,1,Confirmed
113831903_66637399804_682438,1,1,1,1,Confirmed
113857132_6367438136_397511,1,1,3,1,Confirmed
113976746_73687034503_659300,1,1,1,1,Confirmed
114078072_49942160020_776204,1,1,1,1,Confirmed
114083944_83737182057_396524,1,1,1,1,Confirmed
114105550_13669475196_891078,1,1,1,1,Confirmed
114106519_80792704519_839638,1,1,1,1,Confirmed
114211436_87782424805_368670,1,1,1,1,Confirmed
114224653_92314090324_515997,1,1,1,1,Confirmed
114245500_11808489882_338180,1,1,1,1,Confirmed
114413144_11508614397_666820,1,1,1,1,Confirmed
114445814_11524806547_85057,1,1,1,1,Confirmed
114564140_74467176622_552976,1,1,1,1,Confirmed
114593266_71061634944_216043,1,1,1,1,Confirmed
114608397_81417881599_573409,1,1,1,1,Confirmed
11467683_85912757077_972642,1,1,1,1,Confirmed
114804217_38911961494_779374,1,1,1,1,Confirmed
11484734_14357678728_466641,1,1,1,1,Confirmed
114879877_78279781452_522855,1,1,1,1,Confirmed
114885457_41447361034_760968,2,2,1,1,Confirmed
11502091_46137398931_301788,1,2,2,1,Confirmed
115049717_82186765278_162124,2,2,1,1,Confirmed
115104247_76393222538_918727,1,1,1,1,Confirmed
115201304_41243373705_102534,1,1,1,1,Confirmed
115208418_12097011388_819632,10,1,1,1,Confirmed
115311135_307601099_993997,1,1,1,2,Confirmed
115471390_2958393370_393213,1,1,1,1,Confirmed
115546883_13388993526_551290,1,1,1,1,Confirmed
115572047_19690039926_685179,1,1,1,1,Confirmed
11567009_80440453288_940609,2,1,1,1,Confirmed
115730812_32311810732_588813,1,1,1,1,Confirmed
115730850_16893471087_13740,1,1,1,1,Confirmed
115742010_80805076270_430012,1,4,4,1,Confirmed
11577681_47915149024_91625,1,1,1,1,Confirmed
115783905_26160113680_725969,1,1,1,1,Confirmed
115973585_79019214030_127404,1,1,1,1,Confirmed
116004490_24439784366_860614,1,1,1,1,Confirmed
116079564_49657250595_146817,1,1,1,1,Confirmed
116209603_23119777772_865234,1,1,1,1,Confirmed
116341103_97181280423_61580,1,1,1,1,Confirmed
116384239_65753252610_251072,1,1,1,1,Confirmed
116463050_26579900717_757798,1,1,1,1,Confirmed
116649071_782501428_311932,1,1,1,1,Confirmed
116703787_78213207879_36603,1,1,1,3,Confirmed
116778086_56030015417_573781,2,1,1,1,Confirmed
117027909_92974154269_785442,1,1,1,1,Confirmed
117172126_80993066302_654552,4,1,1,1,Confirmed
11720986_52679762149_836806,1,1,1,1,Confirmed
117291376_25284975669_155364,1,1,1,1,Confirmed
117352486_41378755781_231965,1,1,2,1,Confirmed
117364362_4303201630_62362,3,1,1,1,Confirmed
117541215_39202484404_181970,1,1,1,1,Confirmed
117584795_60495945767_198199,2,1,1,1,Confirmed
117605247_63053644773_373788,2,1,1,1,Confirmed
117623083_28983793422_368850,1,1,1,1,Confirmed
117641933_72757811525_888167,1,1,1,1,Confirmed
11767591_46815920430_274635,1,1,1,1,Confirmed
117680712_31631394488_449622,1,1,1,1,Confirmed
117706876_72262983287_653705,3,1,0,1,Confirmed
117714400_50322151466_503875,1,1,1,1,Confirmed
117791864_6678607941_568700,2,3,5,1,Confirmed
117830944_56061694046_595166,1,1,1,1,Confirmed
117896179_1004058260_627958,1,1,1,1,Confirmed
117899179_96541016886_779485,2,1,1,1,Confirmed
117908454_79746633548_126146,2,1,1,1,Confirmed
117915124_84242354140_83350,1,1,1,1,Confirmed
117946925_3388334130_880569,1,1,1,1,Confirmed
118012685_29423359739_408123,1,1,1,1,Confirmed
118054537_62322149580_634328,1,2,2,2,Confirmed
11805755_68994722200_242989,1,1,2,1,Confirmed
118170309_98030963044_476320,2,1,1,1,Confirmed
118230460_23654689177_141100,1,3,2,1,Confirmed
11842361_73805488372_860066,1,1,1,1,Confirmed
118509546_69849813633_676169,3,1,1,1,Confirmed
118542363_68130062917_19869,1,1,1,1,Confirmed
118567823_77083571539_442423,2,2,1,2,Confirmed
118626507_3369959419_813057,1,1,1,1,Confirmed
118692123_69155045540_520095,1,3,5,1,Confirmed
118773707_6825242344_189956,1,1,1,1,Confirmed
118808339_78503249872_587863,1,1,1,1,Confirmed
118963382_14954004514_863675,1,1,1,1,Confirmed
119026294_39060717185_954315,2,2,1,1,Confirmed
119123186_70680902278_700733,4,4,1,1,Confirmed
11915642_63719450184_557063,1,1,1,1,Confirmed
119162170_31420035865_823377,1,1,2,1,Confirmed
119208864_65436276433_385022,1,1,1,1,Confirmed
119246336_59451126691_742770,1,1,1,1,Confirmed
119290182_57892840193_603813,1,1,1,1,Confirmed
119292097_58583677361_310771,1,1,1,1,Confirmed
119309536_38074288538_145882,1,1,1,1,Confirmed
11931057_69107863646_206148,1,1,1,1,Confirmed
119317066_9362412681_901008,1,1,1,1,Confirmed
119411390_64352583480_163002,2,2,1,1,Confirmed
119433091_78701973594_124781,1,1,1,1,Confirmed
119454601_76774270593_99855,1,1,1,1,Confirmed
119500390_79564332375_439300,2,1,1,1,Confirmed
119597181_77299326088_263895,1,1,1,1,Confirmed
119818686_24032430448_1246,2,1,1,1,Confirmed
119848473_65630079066_113087,1,3,1,1,Confirmed
119868293_38464735300_501965,1,1,1,3,Confirmed
119909799_10205177390_929697,2,1,1,1,Confirmed
119991097_18669689168_56147,1,1,1,1,Confirmed
119994520_87392769980_768995,1,1,1,1,Confirmed
120003502_40419708236_844787,1,1,1,3,Confirmed
120027680_53148807162_296715,1,1,2,1,Confirmed
120062297_77563779808_81951,1,1,1,1,Confirmed
120098873_86476484399_469477,1,1,1,1,Confirmed
120320287_85501544941_975337,1,1,1,1,Confirmed
120341990_61682014537_674237,2,3,2,1,Confirmed
120431574_89587101437_289383,1,1,1,1,Confirmed
120547028_97441236091_94203,2,2,2,1,Confirmed
120665648_33216406862_240380,2,1,4,1,Confirmed
120690401_79853678313_780061,1,1,1,1,Confirmed
12073164_19049441239_413304,1,1,1,1,Confirmed
120784288_61628566845_43116,1,1,1,1,Confirmed
120964881_159401944_672258,1,1,1,1,Confirmed
121046433_41769744641_147208,1,1,1,1,Confirmed
121122760_49585892112_348108,1,1,1,1,Confirmed
121180454_32894565146_390736,1,1,1,1,Confirmed
121219607_22031864498_834964,1,1,1,1,Confirmed
121300808_63024669474_69323,2,1,1,1,Confirmed
12135950_63909399141_263124,3,1,1,1,Confirmed
121372186_24160448595_593910,1,1,1,1,Confirmed
121424283_75581657669_178015,1,1,1,1,Confirmed
121474325_99680898730_343692,1,1,1,1,Confirmed
121490600_76646484602_627041,1,1,1,1,Confirmed
121509728_6600651323_68437,1,1,1,1,Confirmed
121518174_16361370428_371692,5,2,1,1,Confirmed
121559874_33968472130_554851,1,1,1,1,Confirmed
121629948_96296729223_789126,1,1,1,1,Confirmed
121765798_96967264858_524127,4,2,1,1,Confirmed
121787017_13067762240_663867,2,1,1,1,Confirmed
121845981_48365978386_267845,1,1,1,1,Confirmed
12188057_28172793043_361809,1,1,1,1,Confirmed
121942740_74159426200_443590,1,1,1,1,Confirmed
121970110_55698057016_628045,1,1,1,1,Confirmed
122024703_24104695541_862085,1,1,1,1,Confirmed
122266428_2146585171_398004,1,1,1,1,Confirmed
12227319_45884293005_754296,1,1,1,1,Confirmed
122307723_36084253916_184891,1,1,1,1,Confirmed
122353619_52576169120_937301,1,2,2,1,Confirmed
122379901_73882407138_824316,2,3,2,1,Confirmed
122388461_91845002120_508353,2,1,3,1,Confirmed
12240542_18566285438_318332,3,3,2,1,Confirmed
122486385_72752382226_311328,1,1,1,1,Confirmed
122554113_63689906172_604105,1,1,2,1,Confirmed
122634415_47700144860_599900,1,1,1,1,Confirmed
122722429_67928447972_347027,2,2,1,1,Confirmed
122753216_56212220378_574998,1,1,1,1,Confirmed
122772036_1623377393_985517,1,1,1,1,Confirmed
12280582_71472448673_729709,1,1,1,1,Confirmed
122887283_14852379382_800663,1,1,1,1,Confirmed
122893046_44886002207_867988,1,1,3,1,Confirmed
123032608_64561054617_725441,1,1,1,1,Confirmed
123060859_55233036098_398178,2,3,2,1,Confirmed
123102931_73290411906_526385,1,1,1,1,Confirmed
123288825_41009665133_118815,1,1,1,1,Confirmed
123356906_95230109120_113548,1,1,1,1,Confirmed
123529328_9690423979_425334,10,2,4,1,Confirmed
123533949_30719615014_821424,1,1,1,1,Confirmed
123744892_86254236536_169663,3,1,1,1,Confirmed
123811187_90187137862_329111,1,1,3,1,Confirmed
123863614_23461220026_273349,1,1,1,1,Confirmed
12392687_79568132989_927821,1,1,1,1,Confirmed
123937009_44568711020_185158,1,1,1,1,Confirmed
123945240_15049563182_509668,1,1,1,2,Confirmed
124025679_98118027194_460116,1,1,1,1,Confirmed
124229463_73126414358_15072,2,2,1,1,Confirmed
124260486_36670277946_599072,1,1,1,1,Confirmed
124447412_36918066515_141931,1,1,1,1,Confirmed
124461069_8356618439_529754,1,1,1,1,Confirmed
124489482_8171248895_786151,1,1,1,1,Confirmed
124512641_9148291850_312576,1,1,2,1,Confirmed
124520046_36689151827_509602,1,1,1,1,Confirmed
124525286_10050270332_268683,1,1,1,1,Confirmed
124530684_1650114664_348764,1,1,1,1,Confirmed
124580442_2005847868_857666,1,1,1,1,Confirmed
124725490_90572328553_745987,1,1,1,1,Confirmed
124797928_17915820638_751002,1,1,1,1,Confirmed
124840717_80397683629_528569,1,1,1,1,Confirmed
124865016_90477423795_914703,1,1,1,1,Confirmed
124882095_46280864366_264231,1,1,1,1,Confirmed
125064870_60043803134_912665,1,1,1,1,Confirmed
125082801_35902573405_730921,1,1,1,1,Confirmed
125145713_22030498684_999585,1,1,1,1,Confirmed
125159452_4808162735_267959,1,1,1,1,Confirmed
125194225_19393943227_371829,1,1,1,1,Confirmed
125275489_95302320386_887748,1,1,1,1,Confirmed
125409287_92566006442_503979,1,1,1,1,Confirmed
125513104_64867407482_727310,1,1,1,1,Confirmed
12554741_37031313601_323548,1,1,2,1,Confirmed
12558727_78555624485_615394,1,1,1,1,Confirmed
125734235_92809562194_431998,1,1,3,1,Confirmed
125760837_89410104964_798193,1,1,1,1,Confirmed
125832423_23243023523_386086,1,1,1,1,Confirmed
125838960_38159820968_571167,1,1,1,1,Confirmed
126038468_33075363667_828406,1,1,1,1,Confirmed
126066063_48089592003_955951,1,1,1,1,Confirmed
126073180_13977072507_684131,2,2,1,1,Confirmed
126105133_17809893975_201170,1,1,1,3,Confirmed
126145539_96791736573_654075,1,1,1,1,Confirmed
126155948_91829417448_668805,1,1,1,1,Confirmed
126240343_15554427891_834962,1,4,3,1,Confirmed
126296998_39900099890_810751,1,1,1,1,Confirmed
126331582_6989339765_102805,2,2,1,1,Confirmed
126364200_6288877161_551550,1,1,1,1,Confirmed
126413178_88741590917_65200,1,1,1,1,Confirmed
126516830_86054743384_607743,1,1,1,1,Confirmed
126553394_57423002204_670573,1,1,1,1,Confirmed
126626366_17761548572_966909,1,1,1,1,Confirmed
126686639_32179730399_54605,1,1,1,1,Confirmed
126709913_77136344500_772362,1,1,3,1,Confirmed
126831798_72369825391_412873,1,1,1,1,Confirmed
126867733_79975391702_480338,1,1,1,1,Confirmed
126976536_60224409497_844515,1,1,1,1,Confirmed
126993312_61330790633_751459,2,1,1,1,Confirmed
127002788_78871554435_4029,1,2,2,1,Confirmed
127128778_10492721551_588350,1,1,2,1,Confirmed
12717827_74069744016_14995,1,1,1,1,Confirmed
127193802_43804471802_546785,1,1,1,1,Confirmed
127219285_50665742744_705968,1,1,1,1,Confirmed
127229801_78830700894_778903,1,1,1,1,Confirmed
127273846_29152254995_176925,1,1,1,1,Confirmed
127332015_805650534_630144,1,1,1,1,Confirmed
127336511_63395494679_413380,1,1,2,1,Confirmed
127412374_44104804454_699824,1,1,2,1,Confirmed
127422847_98470448979_125324,1,1,1,1,Confirmed
127474911_30982999871_733481,1,1,1,1,Confirmed
127489859_27455887646_729058,1,1,1,1,Confirmed
127687945_32968569926_106784,1,2,2,1,Confirmed
127735928_86903835139_758444,1,1,1,1,Confirmed
127760462_93809997944_935911,1,1,1,1,Confirmed
127794746_84347323856_925993,1,1,1,1,Confirmed
127811068_29124722741_919678,1,1,1,1,Confirmed
127830304_22598971455_173727,1,1,1,1,Confirmed
12785556_86170718367_710834,1,1,1,1,Confirmed
127889882_93420937159_313668,1,1,1,1,Confirmed
127987869_67780914279_389546,1,1,1,1,Confirmed
127989446_45976305204_84881,1,1,1,1,Confirmed
128086637_18625231611_282111,1,2,2,1,Confirmed
1280982_923648651_849206,1,1,1,1,Confirmed
128165830_30427263254_13035,1,1,1,1,Confirmed
128198568_48364299831_325716,1,1,1,1,Confirmed
128203835_64131603173_23885,1,1,1,1,Confirmed
12822731_67497354981_750717,1,1,1,4,Confirmed
128287397_67541594890_378495,2,2,1,4,Confirmed
128341898_36139070291_42472,1,1,1,1,Confirmed
128375768_88788300716_536830,1,1,1,1,Confirmed
128546324_32320590396_147413,1,1,1,1,Confirmed
128563699_63892912682_41512,3,1,1,1,Confirmed
128646468_43424584227_475939,1,1,1,1,Confirmed
128707278_74623051753_383286,1,4,5,2,Confirmed
128750284_75713777450_170911,1,1,1,1,Confirmed
128783140_35754495405_136940,2,1,1,1,Confirmed
128799636_55392666241_586119,3,2,3,1,Confirmed
128928056_89125256721_674290,2,2,1,2,Confirmed
129284782_45195432467_969117,1,1,1,1,Confirmed
129329302_98623136213_399677,1,1,1,1,Confirmed
129347156_1585895360_743032,1,1,1,1,Confirmed
129369360_26151717802_201123,2,2,1,1,Confirmed
129395060_45891532416_968667,1,1,1,1,Confirmed
129560592_31834319255_707123,1,1,1,1,Confirmed
129569776_33471130025_742989,1,1,1,1,Confirmed
129638417_19452294366_798628,1,1,1,1,Confirmed
129641739_81272316289_220857,1,1,1,1,Confirmed
129672371_911114751_998148,1,1,1,1,Confirmed
129782867_61068388166_853916,4,3,2,1,Confirmed
130079804_14229087616_693146,1,1,1,1,Confirmed
130082011_30746901822_831062,1,1,1,1,Confirmed
130265057_20116357644_791157,1,1,1,1,Confirmed
130282130_27674332656_808282,2,1,1,1,Confirmed
130373787_70952693102_435513,1,1,1,1,Confirmed
130502763_87279132515_340748,2,2,2,2,Confirmed
130580693_20094245520_994374,1,1,1,1,Confirmed
130585572_98359180277_73,1,1,1,3,Confirmed
13060357_50926088912_751725,1,1,1,1,Confirmed
130677392_33476817174_171978,1,3,3,1,Confirmed
130716726_54642386508_698905,1,1,1,1,Confirmed
130790172_6705174264_256296,1,1,1,1,Confirmed
130990903_96094011232_108566,1,1,1,1,Confirmed
131038079_20704566257_709964,1,1,1,1,Confirmed
131097691_81023234611_218655,1,1,1,1,Confirmed
131102525_42937895906_669146,1,1,1,1,Confirmed
131125518_10728506408_139107,2,1,1,1,Confirmed
131144238_53571830218_385033,1,1,1,1,Confirmed
13115041_86046233632_614678,1,1,1,1,Confirmed
131151000_16136280378_595781,1,1,1,1,Confirmed
131348528_22231488950_128767,1,1,2,1,Confirmed
131433945_81573513202_350048,1,1,1,1,Confirmed
131445605_75345808415_278073,1,1,1,1,Confirmed
13145096_89466953582_339653,2,1,1,1,Confirmed
1315337_13623885675_876847,1,1,1,1,Confirmed
131549310_39584552185_886703,1,1,1,1,Confirmed
131658082_36944318668_574392,1,1,1,1,Confirmed
131680998_50955482767_470242,1,1,1,1,Confirmed
131741603_26303334537_757093,1,1,1,1,Confirmed
131828181_13145003767_548648,1,1,1,1,Confirmed
131969219_66032960268_31360,1,1,1,1,Confirmed
131977033_96354419103_429845,2,1,1,1,Confirmed
132007616_82653622007_641102,1,1,1,1,Confirmed
132041350_74481051516_367934,1,1,1,1,Confirmed
13205605_14426073954_328700,4,4,1,1,Confirmed
132120335_50130153381_730413,1,1,1,1,Confirmed
132176581_31020393245_500778,1,1,1,1,Confirmed
132271947_11731722669_605414,1,1,2,1,Confirmed
13227476_36998124489_81826,2,1,1,1,Confirmed
132290505_31021953808_448015,1,1,1,1,Confirmed
132308094_58072085948_298003,1,1,1,1,Confirmed
13230994_26512304416_834075,1,1,1,1,Confirmed
132343681_74143878417_710184,2,1,1,4,Confirmed
132345884_86772668980_154072,1,1,1,1,Confirmed
132359246_57632143681_53263,1,1,1,1,Confirmed
13237711_24972983765_60282,3,3,3,1,Confirmed
132416728_11885996721_192181,1,1,1,1,Confirmed
132433048_42250591779_333284,1,2,3,1,Confirmed
132442604_75370975182_713517,1,1,1,1,Confirmed
132466960_78388005899_65318,1,1,1,1,Confirmed
13248002_27432849954_794284,1,1,1,2,Confirmed
